Model Name,Hyperparameter,Train Size,Validation Size,TP,FP,TN,FN,Accuracy,Precision,Recall,Specificity,F1-Score,MCC,AUROC,Hinge Loss
KNN,"k=3, weights='uniform', metric='euclidean",1306,326,335,392,472,433,0.4946,0.46020000000000005,0.4364,0.4364,0.4474,-0.017800000000000003,0.4434,1.011024183411193
KNN,"k=3, weights='uniform', metric='manhattan",1306,326,348,407,457,420,0.49300000000000005,0.46020000000000005,0.45280000000000004,0.45280000000000004,0.45640000000000003,-0.0184,0.4584,1.0134969325153373
KNN,"k=3, weights='distance', metric='euclidean",1306,326,335,392,472,433,0.4946,0.46020000000000005,0.4364,0.4364,0.4474,-0.017800000000000003,0.4434,1.011024183411193
KNN,"k=3, weights='distance', metric='manhattan",1306,326,348,407,457,420,0.49300000000000005,0.46020000000000005,0.45280000000000004,0.45280000000000004,0.45640000000000003,-0.0184,0.4584,1.0134969325153373
KNN,"k=5, weights='uniform', metric='euclidean",1306,326,334,412,452,434,0.4816,0.44720000000000004,0.43500000000000005,0.43500000000000005,0.44060000000000005,-0.0422,0.442,1.0367535318286714
KNN,"k=5, weights='uniform', metric='manhattan",1306,326,347,411,453,421,0.4904,0.45780000000000004,0.4518000000000001,0.4518000000000001,0.454,-0.0242,0.4572,1.0196168927412244
KNN,"k=5, weights='distance', metric='euclidean",1306,326,334,410,454,434,0.4828,0.4486,0.43500000000000005,0.43500000000000005,0.4412,-0.0398,0.442,1.0342995440986098
KNN,"k=5, weights='distance', metric='manhattan",1306,326,347,411,453,421,0.4904,0.458,0.4518000000000001,0.4518000000000001,0.454,-0.0242,0.4572,1.0196131404664077
KNN,"k=7, weights='uniform', metric='euclidean",1306,326,342,385,479,426,0.5027999999999999,0.4708,0.44539999999999996,0.44539999999999996,0.4566,-0.00020000000000000017,0.4516,0.9938462693007637
KNN,"k=7, weights='uniform', metric='manhattan",1306,326,344,388,476,424,0.5024,0.4702,0.44800000000000006,0.44800000000000006,0.4582,-0.0012,0.45360000000000006,0.995077015440611
KNN,"k=7, weights='distance', metric='euclidean",1306,326,342,386,478,426,0.5022,0.4702,0.44539999999999996,0.44539999999999996,0.45640000000000003,-0.0013999999999999998,0.4516,0.9950695108909777
KNN,"k=7, weights='distance', metric='manhattan",1306,326,343,390,474,425,0.5006,0.4680000000000001,0.4466,0.4466,0.45640000000000003,-0.0048,0.4524,0.9987542447608864
KNN,"k=9, weights='uniform', metric='euclidean",1306,326,346,363,501,422,0.5188,0.4888,0.4506,0.4506,0.46840000000000004,0.0308,0.45599999999999996,0.9620082174818483
KNN,"k=9, weights='uniform', metric='manhattan",1306,326,345,366,498,423,0.5166000000000001,0.485,0.44899999999999995,0.44899999999999995,0.466,0.0256,0.4548,0.9668861747434383
KNN,"k=9, weights='distance', metric='euclidean",1306,326,346,362,502,422,0.5196,0.4894,0.4506,0.4506,0.4686,0.0318,0.45599999999999996,0.9607849758916343
KNN,"k=9, weights='distance', metric='manhattan",1306,326,345,365,499,423,0.5172000000000001,0.4856,0.44899999999999995,0.44899999999999995,0.4662,0.0268,0.4548,0.9656629331532243
KNN,"k=11, weights='uniform', metric='euclidean",1306,326,342,342,522,426,0.5294000000000001,0.4998,0.4454000000000001,0.4454000000000001,0.4704,0.05,0.4514,0.9411905967993095
KNN,"k=11, weights='uniform', metric='manhattan",1306,326,335,342,522,433,0.5252000000000001,0.4952,0.43640000000000007,0.43640000000000007,0.4628,0.040999999999999995,0.4434,0.9497307742819083
KNN,"k=11, weights='distance', metric='euclidean",1306,326,340,342,522,428,0.5282,0.49840000000000007,0.44279999999999997,0.44279999999999997,0.46820000000000006,0.0474,0.4492,0.9436483368041875
KNN,"k=11, weights='distance', metric='manhattan",1306,326,335,343,521,433,0.5246000000000001,0.49440000000000006,0.43640000000000007,0.43640000000000007,0.46240000000000003,0.0398,0.4434,0.9509615204217556
KNN,"k=13, weights='uniform', metric='euclidean",1306,326,340,348,516,428,0.5244000000000001,0.493,0.44279999999999997,0.44279999999999997,0.46580000000000005,0.039999999999999994,0.44939999999999997,0.9510290613684547
KNN,"k=13, weights='uniform', metric='manhattan",1306,326,336,358,506,432,0.516,0.484,0.43760000000000004,0.43760000000000004,0.45919999999999994,0.0232,0.44460000000000005,0.9681206731581021
KNN,"k=13, weights='distance', metric='euclidean",1306,326,339,346,518,429,0.525,0.4934,0.44139999999999996,0.44139999999999996,0.4654,0.040999999999999995,0.44820000000000004,0.9498058197782406
KNN,"k=13, weights='distance', metric='manhattan",1306,326,335,359,505,433,0.5147999999999999,0.4824,0.43620000000000003,0.43620000000000003,0.45779999999999993,0.0206,0.4434,0.97057841316298
KNN,"k=15, weights='uniform', metric='euclidean",1306,326,327,341,523,441,0.5206000000000001,0.48839999999999995,0.42560000000000003,0.42560000000000003,0.4542,0.0314,0.434,0.9583572540852892
KNN,"k=15, weights='uniform', metric='manhattan",1306,326,316,357,507,452,0.5044,0.4678,0.41159999999999997,0.41159999999999997,0.437,-0.0024000000000000002,0.42140000000000005,0.9914260520440518
KNN,"k=15, weights='distance', metric='euclidean",1306,326,329,344,520,439,0.5202,0.48719999999999997,0.42840000000000006,0.42840000000000006,0.45499999999999996,0.030200000000000005,0.4364,0.9595842479503199
KNN,"k=15, weights='distance', metric='manhattan",1306,326,316,358,506,452,0.5037999999999999,0.46719999999999995,0.41159999999999997,0.41159999999999997,0.4368,-0.003400000000000001,0.42140000000000005,0.9926492936342658
