Model Name,Hyperparameter,Train Size,Validation Size,TP,FP,TN,FN,Accuracy,Precision,Recall,Specificity,F1-Score,MCC,AUROC,Hinge Loss
KNN,"k=3, weights='uniform', metric='euclidean",1306,326,414,461,403,354,0.5004000000000001,0.4728,0.5388,0.5388,0.5032,0.0054,0.5347999999999999,0.9987730061349692
KNN,"k=3, weights='uniform', metric='manhattan",1306,326,411,470,394,357,0.4934,0.46740000000000004,0.5352,0.5352,0.4988,-0.009000000000000003,0.5314000000000001,1.0133956210952892
KNN,"k=3, weights='distance', metric='euclidean",1306,326,407,466,398,361,0.4932,0.466,0.5298,0.5298,0.4952,-0.0094,0.5266000000000001,1.0134781711412544
KNN,"k=3, weights='distance', metric='manhattan",1306,326,407,477,387,361,0.4864,0.46099999999999997,0.5297999999999999,0.5297999999999999,0.493,-0.022199999999999998,0.5266,1.02687754451136
KNN,"k=5, weights='uniform', metric='euclidean",1306,326,409,467,397,359,0.49400000000000005,0.46699999999999997,0.5326000000000001,0.5326000000000001,0.4974,-0.008000000000000002,0.529,1.0122549295510403
KNN,"k=5, weights='uniform', metric='manhattan",1306,326,433,466,398,335,0.5092000000000001,0.48200000000000004,0.5638,0.5638,0.5194,0.0246,0.5566,0.9815950920245399
KNN,"k=5, weights='distance', metric='euclidean",1306,326,401,472,392,367,0.48579999999999995,0.4596,0.5222,0.5222,0.48860000000000003,-0.024399999999999998,0.5198,1.028187088422356
KNN,"k=5, weights='distance', metric='manhattan",1306,326,429,468,396,339,0.5054000000000001,0.47859999999999997,0.5584,0.5584,0.5152000000000001,0.016999999999999998,0.5522,0.9889457983902741
KNN,"k=7, weights='uniform', metric='euclidean",1306,326,429,468,396,339,0.5054,0.4779999999999999,0.5584,0.5584,0.5144,0.0172,0.5519999999999999,0.9889645597643572
KNN,"k=7, weights='uniform', metric='manhattan",1306,326,446,466,398,322,0.5172000000000001,0.48840000000000006,0.5804,0.5804,0.5296,0.042199999999999994,0.5716,0.9657154650006566
KNN,"k=7, weights='distance', metric='euclidean",1306,326,418,473,391,350,0.4958,0.4688,0.5442,0.5442,0.5029999999999999,-0.0031999999999999993,0.5394,1.0085852047803983
KNN,"k=7, weights='distance', metric='manhattan",1306,326,442,468,396,326,0.5136000000000001,0.48500000000000004,0.5754,0.5754,0.5254000000000001,0.034600000000000006,0.567,0.9730699236412075
KNN,"k=9, weights='uniform', metric='euclidean",1306,326,432,473,391,336,0.504,0.47759999999999997,0.5622,0.5622,0.5159999999999999,0.015000000000000003,0.5556,0.9914185474944184
KNN,"k=9, weights='uniform', metric='manhattan",1306,326,447,475,389,321,0.5122,0.4852,0.5820000000000001,0.5820000000000001,0.5286,0.03300000000000001,0.573,0.9754676272490197
KNN,"k=9, weights='distance', metric='euclidean",1306,326,427,479,385,341,0.4974,0.4715999999999999,0.5558,0.5558,0.5098,0.0013999999999999985,0.5498,1.0049004709104896
KNN,"k=9, weights='distance', metric='manhattan",1306,326,444,477,387,324,0.5092,0.4826,0.578,0.578,0.5254000000000001,0.026600000000000002,0.5696,0.9815950920245399
KNN,"k=11, weights='uniform', metric='euclidean",1306,326,420,468,396,348,0.4998,0.4728,0.5468000000000001,0.5468000000000001,0.5064,0.005199999999999999,0.5418000000000001,0.9999737340762838
KNN,"k=11, weights='uniform', metric='manhattan",1306,326,455,483,381,313,0.5122,0.4856,0.5922000000000001,0.5922000000000001,0.5334000000000001,0.033999999999999996,0.582,0.9754601226993864
KNN,"k=11, weights='distance', metric='euclidean",1306,326,410,475,389,358,0.4896,0.46340000000000003,0.5337999999999999,0.5337999999999999,0.49560000000000004,-0.0162,0.5304,1.0208176206825388
KNN,"k=11, weights='distance', metric='manhattan",1306,326,451,487,377,317,0.5074000000000001,0.4812,0.5871999999999999,0.5871999999999999,0.5284,0.024,0.5776,0.9852723213448152
KNN,"k=13, weights='uniform', metric='euclidean",1306,326,423,474,390,345,0.4984,0.472,0.5504,0.5504,0.5079999999999999,0.0021999999999999962,0.5452,1.003699742969175
KNN,"k=13, weights='uniform', metric='manhattan",1306,326,450,481,383,318,0.5105999999999999,0.48360000000000003,0.5858000000000001,0.5858000000000001,0.5292,0.029599999999999998,0.5764,0.9791411042944785
KNN,"k=13, weights='distance', metric='euclidean",1306,326,410,479,385,358,0.487,0.4614,0.5336,0.5336,0.49460000000000004,-0.0206,0.5304,1.0257593666160107
KNN,"k=13, weights='distance', metric='manhattan",1306,326,448,485,379,320,0.507,0.48040000000000005,0.5831999999999999,0.5831999999999999,0.5266,0.0224,0.5740000000000001,0.9864955629350293
KNN,"k=15, weights='uniform', metric='euclidean",1306,326,399,482,382,369,0.47859999999999997,0.453,0.5193999999999999,0.5193999999999999,0.4835999999999999,-0.038400000000000004,0.5174000000000001,1.0428960057034578
KNN,"k=15, weights='uniform', metric='manhattan",1306,326,459,481,383,309,0.5157999999999999,0.4888,0.5974,0.5974,0.5374000000000001,0.04139999999999999,0.5866,0.9681206731581021
KNN,"k=15, weights='distance', metric='euclidean",1306,326,393,488,376,375,0.47119999999999995,0.44580000000000003,0.5115999999999999,0.5115999999999999,0.47640000000000005,-0.053000000000000005,0.5105999999999999,1.057608675259376
KNN,"k=15, weights='distance', metric='manhattan",1306,326,456,484,380,312,0.5122000000000001,0.4854,0.5936,0.5936,0.5336000000000001,0.034199999999999994,0.5834,0.9754826363482861
